tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country,avg_health_exp_country,health_exp_category_country,avg_hdi_country,hdi_category_country,avg_hours_worked,life_satisfaction_score_country,happiness_ci_upper_country,happiness_ci_lower_country,gdp_log_country,social_support_country,healthy_life_expectancy_country,freedom_life_choices_country,generosity_country,corruption_perception_country,residual_happiness_country,happiness_rank_country
Yes,Yes,No,Yes,Yes,Yes,Yes,10,30,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
No,No,I don't know,No,No,Yes,Yes,8,35,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,No,No,No,No,Yes,Yes,8,31,Female,Germany,12.031776046000001,Alto,0.9474,Muy alto,1361.28,7.04295998840332,7.166531691233317,7.010001603444416,1.5727281821568802,1.14984791469574,0.8350382671356199,0.5830913774172467,0.20334590133031202,0.3244540974299113,2.420416487375897,15
Yes,No,No,Yes,No,No,Possibly,7,30,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,No,Yes,No,Yes,Yes,8,33,Other,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
No,I don't know,Yes,No,No,Yes,Possibly,6,28,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,No,No,Yes,Yes,Yes,No,10,28,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,I don't know,No,No,Yes,Yes,9,33,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,No,Yes,No,Yes,Possibly,6,28,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,I don't know,No,Yes,Yes,No,Yes,9,28,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,I don't know,I don't know,No,No,Yes,No,6,43,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,I don't know,I don't know,No,No,Yes,No,6,31,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
